LONGITUDE;LATITUDE;LABEL;KML_FOLDER;KML_STYLE;descripción;valor
-79,0114536;-2,9040749;Carbón & Leña - Hamburguesas;Indicaciones de ROCK N BURGUER a Carbón & Leña - Hamburguesas;icon-ci-11-nodesc;;
-79,0114536;-2,9040749;Carbón & Leña - Hamburguesas;Indicaciones de Carbón & Leña - Hamburguesas a Don Loren;icon-ci-10-nodesc;;
-78,9965882;-2,8933985;Don Loren;Indicaciones de Carbón & Leña - Hamburguesas a Don Loren;icon-ci-11-nodesc;;
-79,0100131;-2,9092040;John's;Indicaciones de John's a Don Loren;icon-ci-10-nodesc;;
-78,9965882;-2,8933985;Don Loren;Indicaciones de John's a Don Loren;icon-ci-11-nodesc;;
-78,9869834;-2,9023308;Piatto Pizza Delivery | Paseo de los Cañaris;pizzeria;icon-1899-817717-labelson;;4.4
-79,0164590;-2,9062815;PIZZA ECUADOR;pizzeria;icon-1899-558B2F-labelson;;2.5
-79,0179587;-2,8982285;La Fornace;pizzeria;icon-1899-FBC02D-labelson;;4.2
-79,0023412;-2,9015043;PIZZALACQUA;pizzeria;icon-1899-7CB342-labelson;;4.5
-79,0060181;-2,8955554;Chicago Pizza Restaurant;pizzeria;icon-1899-F9A825-labelson;;4.1
-79,0086246;-2,9100462;Tutto Matto Pizzería;pizzeria;icon-1899-AFB42B-labelson;;4.5
-78,9990447;-2,9099484;Napoletana Pizza;pizzeria;icon-1899-9C27B0-labelson;;4.5
-79,0031382;-2,8980800;La Fornace;pizzeria;icon-1899-FBC02D-labelson;;4.3
-79,0017732;-2,8968884;Cresly Pizzeria;pizzeria;icon-1899-F57C00-labelson;;4.8
-78,9868190;-2,8848232;Rollchesse Pizza Cuenca;pizzeria;icon-1899-673AB7-labelson;;4.0
-79,0030739;-2,8980927;La Fornace;Indicaciones de La Fornace a Cresly Pizzeria;icon-ci-10-nodesc;;
-79,0017959;-2,8968839;Cresly Pizzeria;Indicaciones de La Fornace a Cresly Pizzeria;icon-ci-11-nodesc;;
-79,0030739;-2,8980927;La Fornace;Indicaciones de La Fornace a PIZZALACQUA;icon-ci-10-nodesc;;
